date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank,batter_api_name,team_name_api,had_hit,hit_count,single_count,double_count,triple_count,home_run_count,xbh_count,at_bats,plate_appearances,runs_scored,rbi,walks,strikeouts,result_label,graded_at,prev_game_hits,prev_game_zero_hit_flag,hit_count_x,single_count_x,double_count_x,triple_count_x,home_run_count_x,xbh_count_x,at_bats_x,plate_appearances_x,runs_scored_x,rbi_x,walks_x,strikeouts_x,source_file,pred_hit_probability,model_available_flag,model_rank,hit_count_y,single_count_y,double_count_y,triple_count_y,home_run_count_y,xbh_count_y,at_bats_y,plate_appearances_y,runs_scored_y,rbi_y,walks_y,strikeouts_y,prob_hit_1,prob_hit_2,had_hit_1,had_hit_2,had_run_1,pred_had_hit_1,pred_had_hit_1_label
2026-07-24,823031,Cincinnati Reds @ St. Louis Cardinals,St. Louis Cardinals,Cincinnati Reds,Jordan Walker,691023,2,R,Rhett Lowder,R,0.291,0.352,0.519,0.285,0.337,0.507,5.75,1.64,0.281,,,0.278,,,0.2922666666666666,4.5953333333333335,,,,30.9,-2,0,0.0,0.0,0.0,0,0,0,0.0,0.03,0.75,0.3530701754385965,0.6714851215952652,0.5899570555227127,0.6590548364833425,0.6499999999999999,0.5787166225281313,3,Jordan Walker,St. Louis Cardinals,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.8158946298584823,1
2026-07-24,823031,Cincinnati Reds @ St. Louis Cardinals,St. Louis Cardinals,Cincinnati Reds,JJ Wetherholt,802139,1,R,Rhett Lowder,R,0.259,0.352,0.403,0.26,0.353,0.416,5.75,1.64,0.281,,,0.278,,,0.2625333333333333,4.5953333333333335,,,,25.0,-2,0,0.0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.2828947368421053,0.6228848400320705,0.5899570555227127,0.5640601612969742,0.6499999999999999,0.6223173508593773,1,JJ Wetherholt,St. Louis Cardinals,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.8099265009763258,1
2026-07-24,823352,Chicago Cubs @ Pittsburgh Pirates,Pittsburgh Pirates,Chicago Cubs,Jake Mangum,663968,1,R,Matthew Boyd,L,0.303,0.353,0.375,0.286,0.338,0.317,4.15,1.21,0.246,,,0.26,,,0.3062666666666667,6.332999999999999,,,,21.3,18,0,0.0,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.3793859649122807,0.6190049208778784,0.4244371916771092,0.8151087265690007,0.6499999999999999,0.6393486967079524,1,Jake Mangum,Pittsburgh Pirates,1,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,multi_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0.8274559157511077,1
2026-07-24,823352,Chicago Cubs @ Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Pete Crow-Armstrong,691718,1,R,Jared Jones,R,0.282,0.383,0.517,0.279,0.369,0.543,4.05,1.1,0.213,,,0.153,,,0.2887333333333333,5.707777777777777,,,,28.3,5,0,0.0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.3333333333333333,0.6909066138635287,0.3200935749103847,0.7190361632473841,0.6499999999999999,0.5816101504261051,3,Pete Crow-Armstrong,Chicago Cubs,1,2.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,multi_hit_xbh,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.8447238427755012,1
2026-07-24,823352,Chicago Cubs @ Pittsburgh Pirates,Pittsburgh Pirates,Chicago Cubs,Nick Gonzales,693304,2,R,Matthew Boyd,L,0.313,0.371,0.415,0.274,0.328,0.34,4.15,1.21,0.246,,,0.26,,,0.3095999999999999,6.332999999999999,,,,24.5,18,0,0.0,0.0,0.0,0,1,0,-0.03,0.0,0.75,0.4013157894736842,0.6055589486286961,0.4244371916771092,0.8257583538320461,0.6499999999999999,0.5875846477351137,2,Nick Gonzales,Pittsburgh Pirates,1,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,single_only,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.8214579706142671,1
2026-07-24,823434,New York Yankees @ Philadelphia Phillies,New York Yankees,Philadelphia Phillies,Paul Goldschmidt,502671,1,R,Jesús Luzardo,L,0.255,0.313,0.478,0.337,0.42,0.644,3.43,1.21,0.234,,,0.256,,,0.2635333333333333,4.442666666666668,,,,26.7,-7,0,0.0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.2741228070175439,0.8178371121080963,0.3895108661474,0.5574742977674598,0.6499999999999999,0.679933682536363,1,Paul Goldschmidt,New York Yankees,1,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,2.0,home_run,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0.5877591015068055,1
2026-07-24,823434,New York Yankees @ Philadelphia Phillies,New York Yankees,Philadelphia Phillies,Amed Rosario,642708,3,R,Jesús Luzardo,L,0.235,0.281,0.451,0.207,0.265,0.391,3.43,1.21,0.234,,,0.256,,,0.2444,4.442666666666668,,,,25.0,-7,0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.5,0.2302631578947368,0.5046781468713997,0.3895108661474,0.496345437277577,0.6499999999999999,0.4924746121537064,3,Amed Rosario,New York Yankees,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.1791627883380105,0
2026-07-24,823434,New York Yankees @ Philadelphia Phillies,New York Yankees,Philadelphia Phillies,Ben Rice,700250,2,R,Jesús Luzardo,L,0.277,0.366,0.59,0.272,0.336,0.52,3.43,1.21,0.234,,,0.256,,,0.2757333333333333,4.442666666666668,,,,24.2,-7,0,0.0,0.0,0.0,0,0,1,0.02,0.0,0.75,0.3223684210526316,0.6586068463452323,0.3895108661474,0.5964519335502073,0.6499999999999999,0.6059727614630592,2,Ben Rice,New York Yankees,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.4592800541000187,0
2026-07-24,823601,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,New York Mets,Shohei Ohtani,660271,1,R,Sean Manaea,L,0.18,0.257,0.262,0.271,0.341,0.542,4.74,1.36,0.262,,,0.283,,,0.2896666666666667,5.383333333333334,,,,29.9,2,0,0.0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.1096491228070175,0.6662383079144549,0.4946958508206354,0.701232181887871,0.6499999999999999,0.6751531595079849,1,Shohei Ohtani,Los Angeles Dodgers,1,2.0,1.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,1.0,multi_hit_xbh,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0.6348011516910592,1
2026-07-24,823601,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,New York Mets,Tommy Edman,669242,3,R,Sean Manaea,L,0.36,0.439,0.535,0.348,0.483,0.565,4.74,1.36,0.262,,,0.283,,,0.3508666666666667,5.383333333333334,,,,25.0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.01,0.5,0.5043859649122807,0.8414947564329106,0.4946958508206354,0.8967593384373918,0.6499999999999999,0.648296345120027,2,Tommy Edman,Los Angeles Dodgers,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,no_hit,2026-07-25T13:16:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.9532713549204281,1
