feature,coefficient,abs_coefficient
num__prev_game_hits,0.9486242483483225,0.9486242483483225
num__batter_vs_hand_obp,0.9168567438268288,0.9168567438268288
num__prev_game_zero_hit_flag,-0.8135824232770545,0.8135824232770545
num__pitcher_ba_allowed,0.7573405949184963,0.7573405949184963
num__last15_pitcher_era,0.7255866636114586,0.7255866636114586
num__batter_avg,0.7212091408764479,0.7212091408764479
num__pitcher_vs_hand_baa,0.6965987571838521,0.6965987571838521
num__pitcher_whip,-0.6786318857757337,0.6786318857757337
num__pitcher_era,-0.579271088710474,0.579271088710474
cat__opp_pitcher_hand_R,0.5743211121364652,0.5743211121364652
cat__opp_pitcher_hand_L,-0.5733230818896841,0.5733230818896841
num__batter_avg_score,-0.5123949242529252,0.5123949242529252
num__weak_defense_flag,-0.5000747808316978,0.5000747808316978
num__batter_vs_hand_avg,-0.4412614514752166,0.4412614514752166
num__game_rank,0.4215812300321473,0.4215812300321473
num__batter_slg,0.3714180879760693,0.3714180879760693
num__bullpen_fatigue_score,0.3188241839087376,0.3188241839087376
num__pitcher_score,0.289686953668258,0.289686953668258
num__order,-0.26324925602397886,0.26324925602397886
num__order_score,0.26324925602397886,0.26324925602397886
num__batter_vs_hand_slg,0.23370901336248862,0.23370901336248862
num__context_adjustment,-0.22959247264310148,0.22959247264310148
num__whiff_penalty,-0.22050620638732918,0.22050620638732918
num__batter_obp,-0.1776832796522276,0.1776832796522276
num__opp_team_defense_drs,-0.15337701501103612,0.15337701501103612
num__form_score,0.13352353393362568,0.13352353393362568
num__elite_defense_flag,-0.06755308300731304,0.06755308300731304
num__hit_score,-0.06205636877707858,0.06205636877707858
num__batter_whiff_pct,-0.052519422505851246,0.052519422505851246
num__last15_hitter_avg,-0.048949654964333886,0.048949654964333886
num__batter_split_score,-0.005605005444658166,0.005605005444658166
cat__batter_hand_R,0.0009980302467816075,0.0009980302467816075
num__bullpen_risk_flag,0.0,0.0
num__high_whiff_flag,0.0,0.0
num__pitcher_whiff_pct,0.0,0.0
num__bullpen_adjustment,0.0,0.0
num__env_score,0.0,0.0
