date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-07-26,823755,Colorado Rockies @ Milwaukee Brewers,Milwaukee Brewers,Colorado Rockies,Andrew Vaughn,683734,3,R,Kyle Freeland,L,0.308,0.387,0.491,.381,.480,.635,7.34,1.55,0.0,,,.320,,,0.3156,7.252,1,0,,,,25.0,-11,0,0,0.0,0.0,0,0,1,0.02,0.01,0.5,0.46176911544227883,0.8492288961038961,0.6230285799790513,0.8634628163806617,0.6499999999999999,0.7037352204767886,2
2026-07-26,823755,Colorado Rockies @ Milwaukee Brewers,Milwaukee Brewers,Colorado Rockies,Brice Turang,668930,2,R,Kyle Freeland,L,0.267,0.362,0.464,.190,.286,.286,7.34,1.55,0.0,,,.320,,,0.26453333333333334,7.252,1,0,,,,21.9,-11,0,0,0.0,0.0,0,0,1,0.02,0.0,0.75,0.4002998500749625,0.435314935064935,0.6230285799790513,0.7670363552374375,0.6499999999999999,0.6457927610455647,3
2026-07-26,824572,Houston Astros @ Chicago White Sox,Houston Astros,Chicago White Sox,Jeremy Peña,665161,1,R,Erick Fedde,R,0.319,0.373,0.504,.318,.374,.489,4.25,1.4,0.264,,,.265,,,0.29760000000000003,4.464666666666667,2,0,,,,27.7,-6,0,0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.47826086956521735,0.6801152597402598,0.6235461081370959,0.6908853488438189,0.6499999999999999,0.6857254497027664,1
2026-07-26,824572,Houston Astros @ Chicago White Sox,Houston Astros,Chicago White Sox,Yordan Alvarez,670541,2,R,Erick Fedde,R,0.323,0.431,0.643,.343,.460,.690,4.25,1.4,0.264,,,.265,,,0.31993333333333335,4.464666666666667,0,1,,,,25.0,-6,0,0,0.0,0.0,0,0,1,0.02,0.01,0.75,0.48425787106446777,0.822840909090909,0.6235461081370959,0.7330561902054117,0.6499999999999999,0.6777324882446677,2
2026-07-26,824572,Houston Astros @ Chicago White Sox,Chicago White Sox,Houston Astros,Sam Antonacci,803011,1,R,Ronel Blanco,R,0.283,0.376,0.416,.300,.392,.458,8.1,1.2,0.171,,,.000,,,0.28493333333333337,7.904999999999999,2,0,,,,25.0,4,0,0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.42428785607196395,0.6599577922077922,0.5729531155735585,0.8380244059087991,0.6499999999999999,0.6675790436103354,3
2026-07-26,824246,Kansas City Royals @ Detroit Tigers,Kansas City Royals,Detroit Tigers,Lane Thomas,657041,1,R,Framber Valdez,L,0.23,0.327,0.4,.257,.359,.404,4.53,1.38,0.257,,,.261,,,0.23513333333333333,4.242666666666667,1,0,,,,25.0,6,0,0,0.0,0.0,0,0,0,0.0,0.01,1.0,0.3448275862068966,0.5813246753246754,0.6235162812571214,0.5618948119445527,0.6499999999999999,0.6716702749999882,1
2026-07-26,824246,Kansas City Royals @ Detroit Tigers,Detroit Tigers,Kansas City Royals,Colt Keith,690993,1,R,Luinder Avila,R,0.254,0.299,0.393,.267,.310,.420,4.81,1.57,0.269,,,.277,,,0.2512666666666667,5.2,1,0,,,,21.2,-3,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.38080959520239877,0.5725649350649351,0.6782217599015803,0.6399581043454275,0.6499999999999999,0.6576014773885219,2
2026-07-26,824246,Kansas City Royals @ Detroit Tigers,Kansas City Royals,Detroit Tigers,Nick Loftin,679845,2,R,Framber Valdez,L,0.249,0.331,0.407,.291,.373,.419,4.53,1.38,0.257,,,.261,,,0.24586666666666665,4.242666666666667,1,0,,,,25.0,6,0,0,0.0,0.0,0,0,0,0.0,0.01,0.75,0.3733133433283358,0.6270665584415585,0.6235162812571214,0.5821619924198257,0.6499999999999999,0.6361458228504999,3
2026-07-26,823194,Los Angeles Angels @ San Francisco Giants,San Francisco Giants,Los Angeles Angels,Luis Arraez,650333,1,R,José Soriano,R,0.327,0.364,0.449,.330,.373,.451,3.35,1.26,0.219,,,.194,,,0.3263999999999999,2.8473333333333333,1,0,,,,8.0,-8,0,0,0.0,0.0,0,0,1,0.02,0.0,1.0,0.49025487256371814,0.6770535714285715,0.5242898999703377,0.6648514050735865,0.6499999999999999,0.661278073609282,1
2026-07-26,823194,Los Angeles Angels @ San Francisco Giants,Los Angeles Angels,San Francisco Giants,Zach Neto,687263,1,R,Carson Whisenhunt,L,0.235,0.325,0.443,.265,.368,.490,3.29,1.32,0.216,,,.276,,,0.23539999999999994,3.4233333333333333,0,1,,,,32.3,10,0,0,0.0,0.0,0,1,0,-0.03,0.03,1.0,0.35232383808095946,0.625866883116883,0.5574599129218221,0.5216602636097025,0.6499999999999999,0.6069537341972226,2
