date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-07-23,824406,Minnesota Twins @ Cleveland Guardians,Minnesota Twins,Cleveland Guardians,Brooks Lee,686797,1,R,Gavin Williams,R,0.253,0.31,0.435,.270,.322,.484,3.93,1.14,0.224,,,.261,,,0.2500666666666667,3.5546666666666673,,,,21.0,7,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.5272727272727273,0.705572734877174,0.454958921471623,0.5096292076693394,0.6499999999999999,0.6043252413111811,1
2026-07-23,824406,Minnesota Twins @ Cleveland Guardians,Minnesota Twins,Cleveland Guardians,Byron Buxton,621439,2,R,Gavin Williams,R,0.277,0.332,0.573,.276,.335,.618,3.93,1.14,0.224,,,.261,,,0.27293333333333336,3.5546666666666673,,,,30.9,7,0,0,0.0,0.0,0,0,0,0.0,0.03,0.75,0.6363636363636365,0.8261564820102798,0.454958921471623,0.5905526994118402,0.6499999999999999,0.5666097018558327,2
2026-07-23,824406,Minnesota Twins @ Cleveland Guardians,Cleveland Guardians,Minnesota Twins,Steven Kwan,680757,1,R,Taj Bradley,R,0.245,0.352,0.304,.269,.367,.335,3.8,1.25,0.0,,,.244,,,0.22933333333333333,3.5459999999999994,,,,8.6,-1,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.4909090909090909,0.6561561795472552,0.3517438045176113,0.4357777809424799,0.6499999999999999,0.5499288533834691,3
2026-07-23,824893,San Diego Padres @ Atlanta Braves,Atlanta Braves,San Diego Padres,Drake Baldwin,686948,1,R,Kyle Hart,L,0.273,0.366,0.47,.260,.345,.447,5.5,1.11,0.217,,,.209,,,0.26153333333333334,4.884666666666667,,,,23.7,8,0,0,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.6181818181818183,0.6861417946659831,0.5074481092827748,0.6235095914211253,0.6499999999999999,0.652296320164497,1
2026-07-23,824893,San Diego Padres @ Atlanta Braves,Atlanta Braves,San Diego Padres,Ozzie Albies,645277,2,R,Kyle Hart,L,0.263,0.315,0.438,.288,.308,.488,5.5,1.11,0.217,,,.209,,,0.2678,4.884666666666667,,,,20.8,8,0,0,0.0,0.0,0,1,0,-0.03,0.0,0.75,0.5727272727272728,0.7310218111616011,0.5074481092827748,0.6456868748724229,0.6499999999999999,0.6168429168060962,2
2026-07-23,824893,San Diego Padres @ Atlanta Braves,San Diego Padres,Atlanta Braves,Fernando Tatis Jr.,665487,1,R,Chris Sale,L,0.285,0.353,0.407,.299,.372,.506,2.23,1.06,0.222,,,.223,,,0.2826,2.1886666666666668,,,,28.6,12,0,0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.6727272727272726,0.8452571033278737,0.3177515316782944,0.5494775867880014,0.6499999999999999,0.614061373353657,3
2026-07-23,822785,Tampa Bay Rays @ Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,Yandy Díaz,650490,1,R,Shane Bieber,R,0.308,0.383,0.469,.309,.384,.463,5.7,1.73,0.302,,,.396,,,0.3174,7.632000000000001,,,,14.2,7,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.7772727272727273,0.852494067821967,0.7999999999999999,0.9726322885069094,0.6499999999999999,0.8140183602315281,1
2026-07-23,822785,Tampa Bay Rays @ Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,Jonathan Aranda,666018,2,R,Shane Bieber,R,0.286,0.382,0.447,.300,.391,.508,5.7,1.73,0.302,,,.396,,,0.289,7.632000000000001,,,,22.0,7,0,0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.6772727272727272,0.8718879807048103,0.7999999999999999,0.8721267273340072,0.6499999999999999,0.7537910042763036,2
2026-07-23,822785,Tampa Bay Rays @ Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,Junior Caminero,691406,3,R,Shane Bieber,R,0.29,0.381,0.559,.275,.354,.546,5.7,1.73,0.302,,,.396,,,0.2821333333333333,7.632000000000001,,,,22.4,7,0,0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.6954545454545454,0.7978061185993295,0.7999999999999999,0.8478260869565215,0.6499999999999999,0.6816254426933105,3
