date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank,hit_count_x,single_count_x,double_count_x,triple_count_x,home_run_count_x,xbh_count_x,at_bats_x,plate_appearances_x,runs_scored_x,rbi_x,walks_x,strikeouts_x,source_file,pred_hit_probability,model_available_flag,model_rank,batter_api_name,team_name_api,had_hit,hit_count_y,single_count_y,double_count_y,triple_count_y,home_run_count_y,xbh_count_y,at_bats_y,plate_appearances_y,runs_scored_y,rbi_y,walks_y,strikeouts_y,result_label,graded_at
2026-08-03,823520,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,Ben Rice,700250,2,R,Michael McGreevy,R,0.266,0.354,0.561,0.274,0.375,0.607,3.57,1.2,0.252,,,0.25,,,0.2738666666666667,2.886666666666667,0,1,,,,24.2,-4,0,2.03,0.0,0.0,0,0,0,0.0,0.0,0.75,0.8536585365853662,0.812034942182001,0.7999999999999999,0.9312370062370064,0.6499999999999999,0.7476942864810511,1,,,,,,,,,,,,,,0.7852435404388375,1,1,Ben Rice,New York Yankees,0,0,0,0,0,0,0,4,4,0,0,0,0,no_hit,2026-08-05T00:56:03Z
2026-08-03,823520,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,Luis García Jr.,671277,3,R,Michael McGreevy,R,0.283,0.313,0.56,0.295,0.325,0.593,3.57,1.2,0.252,,,0.25,,,0.2805333333333333,2.886666666666667,1,0,,,,19.8,-4,0,2.03,0.0,0.0,0,0,0,0.0,0.0,0.5,0.991869918699187,0.778337668554294,0.7999999999999999,0.9676195426195424,0.6499999999999999,0.6947273485315048,2,,,,,,,,,,,,,,0.6570489299256306,1,2,Luis García Jr.,New York Yankees,1,2,1,0,0,1,1,4,4,1,2,0,0,multi_hit_xbh,2026-08-05T00:56:03Z
2026-08-03,823520,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,Trent Grisham,663757,1,R,Michael McGreevy,R,0.211,0.313,0.374,0.203,0.312,0.378,3.57,1.2,0.252,,,0.25,,,0.2198,2.886666666666667,0,1,,,,16.6,-4,0,2.03,0.0,0.0,0,0,0,0.0,0.0,1.0,0.4065040650406504,0.2985974506492294,0.7999999999999999,0.6361746361746363,0.6499999999999999,0.6250755580885027,3,,,,,,,,,,,,,,0.6426387435241413,1,3,Trent Grisham,New York Yankees,1,2,0,1,0,1,2,5,5,2,1,0,1,multi_hit_xbh,2026-08-05T00:56:03Z
