date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank,prob_hit_1,prob_hit_2,batter_api_name,team_name_api,had_hit,hit_count,single_count,double_count,triple_count,home_run_count,xbh_count,at_bats,plate_appearances,runs_scored,rbi,walks,strikeouts,result_label,graded_at
2026-08-09,822700,Cincinnati Reds @ Washington Nationals,Washington Nationals,Cincinnati Reds,Andrés Chaparro,665953,2,R,Brady Singer,R,0.235,0.348,0.5,0.412,0.444,0.882,4.66,1.43,0.274,,,0.232,,,0.2195999999999999,5.188666666666666,1,0,,,,25.0,-2,0,1.93,0.0,0.0,0,0,0,0.0,0.01,0.75,0.4010238901006418,0.8878986997214893,0.5552231053381241,0.4333503939360846,0.6499999999999999,0.6085441656222221,2,0.5053188221351023,0.5053188221351023,Andrés Chaparro,Washington Nationals,1,1,0,1,0,0,1,2,2,0,2,0,1,double,2026-08-10T22:18:54Z
2026-08-09,822700,Cincinnati Reds @ Washington Nationals,Washington Nationals,Cincinnati Reds,Abimelec Ortiz,694673,2,R,Brady Singer,R,0.273,0.304,0.591,0.3,0.333,0.65,4.66,1.43,0.274,,,0.232,,,0.305,5.188666666666666,2,0,,,,25.0,-2,0,1.93,0.0,0.0,0,0,0,0.0,0.01,0.75,0.465870306372235,0.6537077910473078,0.5552231053381241,0.545836281242718,0.6499999999999999,0.5668693215496718,3,0.2908460291853167,0.2908460291853167,Abimelec Ortiz,Washington Nationals,1,2,1,0,0,1,1,3,3,1,1,0,0,multi_hit_xbh,2026-08-10T22:18:54Z
2026-08-09,824564,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Chicago White Sox,Steven Kwan,680757,1,R,Davis Martin,R,0.265,0.365,0.33,0.285,0.377,0.356,4.17,1.33,0.266,,,0.27,,,0.2545333333333333,3.024666666666667,1,0,,,,8.6,-6,0,2.1,0.0,0.0,0,0,1,0.02,0.0,1.0,0.4522184292624259,0.5728974015127424,0.5405313490118828,0.3903017138547417,0.6499999999999999,0.5989290121599616,1,0.4505826632578527,0.4505826632578527,Steven Kwan,Cleveland Guardians,1,2,2,0,0,0,0,5,5,1,0,0,2,multi_hit,2026-08-10T22:18:54Z
2026-08-09,824564,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Cleveland Guardians,Brenton Doyle,686668,1,R,Joey Cantillo,L,0.22,0.288,0.283,0.213,0.302,0.277,3.91,1.48,0.263,,,0.267,,,0.2086,3.8606666666666665,1,0,,,,25.0,7,0,0.9,0.0,0.0,0,0,0,0.0,0.01,1.0,0.3754266205197498,0.4415675316333685,0.5484822005909018,0.3642063754683304,0.6499999999999999,0.5845674994058622,2,0.3726419386498227,0.3726419386498227,Brenton Doyle,Chicago White Sox,1,2,1,1,0,0,1,5,5,1,0,0,0,multi_hit_xbh,2026-08-10T22:18:54Z
2026-08-09,824564,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Cleveland Guardians,Munetaka Murakami,808959,2,R,Joey Cantillo,L,0.24,0.372,0.545,0.202,0.327,0.404,3.91,1.48,0.263,,,0.267,,,0.2397333333333333,3.8606666666666665,1,0,,,,25.0,7,0,0.9,0.0,0.0,0,0,0,0.0,0.01,0.75,0.4095563132942725,0.4814532458791739,0.5484822005909018,0.4052141111218806,0.6499999999999999,0.5506900883153462,3,0.2321698412399676,0.2321698412399676,Munetaka Murakami,Chicago White Sox,1,1,0,1,0,0,1,4,5,0,1,1,2,double,2026-08-10T22:18:54Z
2026-08-09,823020,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,Colorado Rockies,JJ Wetherholt,802139,1,R,Michael Lorenzen,R,0.245,0.35,0.382,0.251,0.36,0.396,6.77,1.86,0.338,,,0.315,,,0.2506666666666667,6.949333333333333,0,1,,,,25.0,-11,0,1.27,0.0,0.0,0,0,1,0.02,0.01,1.0,0.4180887364879032,0.5432805184725409,0.7593089068633603,0.5467323635798333,0.6499999999999999,0.6706226562141182,1,0.7691305110488195,0.7691305110488195,JJ Wetherholt,St. Louis Cardinals,1,2,1,1,0,0,1,3,5,2,2,2,0,multi_hit_xbh,2026-08-10T22:18:54Z
2026-08-09,823020,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,Colorado Rockies,Alec Burleson,676475,3,R,Michael Lorenzen,R,0.282,0.349,0.472,0.326,0.402,0.558,6.77,1.86,0.338,,,0.315,,,0.2843999999999999,6.949333333333333,0,1,,,,20.3,-11,0,1.27,0.0,0.0,0,0,1,0.02,0.0,0.5,0.4812286681207702,0.6859324662757679,0.7593089068633603,0.5911647281209391,0.6499999999999999,0.6229504978460909,2,0.5846708260468105,0.5846708260468105,Alec Burleson,St. Louis Cardinals,1,1,0,0,0,1,1,4,5,2,1,1,0,home_run,2026-08-10T22:18:54Z
2026-08-09,823020,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,Colorado Rockies,Iván Herrera,671056,2,R,Michael Lorenzen,R,0.247,0.358,0.388,0.239,0.341,0.373,6.77,1.86,0.338,,,0.315,,,0.2429333333333333,6.949333333333333,2,0,,,,20.2,-11,0,1.27,0.0,0.0,0,0,1,0.02,0.0,0.75,0.4215017057653555,0.5151922068354285,0.7593089068633603,0.5365462879142835,0.6499999999999999,0.6220726669550077,3,0.5800533623582008,0.5800533623582008,Iván Herrera,St. Louis Cardinals,1,4,4,0,0,0,0,5,5,1,1,0,0,multi_hit,2026-08-10T22:18:54Z
2026-08-09,823190,Detroit Tigers @ San Francisco Giants,Detroit Tigers,San Francisco Giants,Kevin McGonigle,805808,1,R,Logan Webb,R,0.287,0.392,0.431,0.302,0.416,0.462,3.74,1.11,0.23,,,0.208,,,0.2844,4.0073333333333325,1,0,,,,25.0,10,0,2.48,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.4897610913144009,0.6407558429645432,0.4476638887445863,0.4700836964931379,0.6499999999999999,0.5400006818384823,1,0.2007977344936279,0.2007977344936279,Kevin McGonigle,Detroit Tigers,1,1,1,0,0,0,0,5,5,0,0,0,1,single_only,2026-08-10T22:18:54Z
2026-08-09,823190,Detroit Tigers @ San Francisco Giants,San Francisco Giants,Detroit Tigers,Bryce Eldridge,805811,1,R,Troy Melton,R,0.248,0.342,0.427,0.243,0.348,0.434,1.58,0.91,0.17,,,0.171,,,0.2556666666666666,1.955,0,1,,,,25.0,6,0,0.79,0.0,0.0,0,0,0,0.0,0.01,1.0,0.4232081904040816,0.5408883106977993,0.2982116438815707,0.347771270520931,0.6499999999999999,0.4818512614170606,2,0.0947243287611493,0.0947243287611493,Bryce Eldridge,San Francisco Giants,1,1,1,0,0,0,0,4,5,0,0,1,2,single_only,2026-08-10T22:18:54Z
