date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-08-08,824726,Athletics @ Boston Red Sox,Boston Red Sox,Athletics,Ceddanne Rafaela,678882,2,R,Gage Jump,L,0.288,0.328,0.47,.282,.328,.530,4.81,1.5,0.272,,,.265,,,0.2840666666666667,3.7650000000000006,0,1,,,,24.2,-9,0,1.55,0.0,0.0,0,0,1,0.02,0.0,0.75,0.4686716780233791,0.386697666548346,0.6504066569556267,0.3962495753946606,0.6499999999999999,0.5862338500329736,1
2026-08-08,824726,Athletics @ Boston Red Sox,Boston Red Sox,Athletics,Jahmai Jones,663330,1,R,Gage Jump,L,0.18,0.26,0.324,.189,.284,.367,4.81,1.5,0.272,,,.265,,,0.154,3.7650000000000006,1,0,,,,25.0,-9,0,1.55,0.0,0.0,0,0,1,0.02,0.01,1.0,0.19799498697244358,0.23786631896398922,0.6504066569556267,0.21643390754702863,0.6499999999999999,0.5620536629597396,2
2026-08-08,824726,Athletics @ Boston Red Sox,Boston Red Sox,Athletics,Caleb Durbin,702332,3,R,Gage Jump,L,0.251,0.322,0.409,.278,.330,.433,4.81,1.5,0.272,,,.265,,,0.2430666666666666,3.7650000000000006,0,1,,,,15.3,-9,0,1.55,0.0,0.0,0,0,1,0.02,0.0,0.5,0.375939848681855,0.3604052315731172,0.6504066569556267,0.33956754785683696,0.6499999999999999,0.5211584371584929,3
2026-08-08,823514,Atlanta Braves @ New York Yankees,New York Yankees,Atlanta Braves,Paul Goldschmidt,502671,1,R,Chris Sale,L,0.247,0.307,0.452,.307,.397,.591,2.08,1.01,0.215,,,.213,,,0.252,2.1233333333333335,1,0,,,,26.7,12,0,2.05,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.36591478605033884,0.4543572341620006,0.44467581508094167,0.2634976705431383,0.6499999999999999,0.5115167036462533,1
2026-08-08,823514,Atlanta Braves @ New York Yankees,Atlanta Braves,New York Yankees,Drake Baldwin,686948,1,R,Gerrit Cole,R,0.274,0.362,0.458,.293,.390,.493,3.43,1.11,0.231,,,.270,,,0.2746666666666667,2.93,1,0,,,,23.7,11,0,0.62,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.43358395881307277,0.41425077012841577,0.5298441361514223,0.33828111370537806,0.6499999999999999,0.4982581004333372,2
2026-08-08,823514,Atlanta Braves @ New York Yankees,New York Yankees,Atlanta Braves,Heliot Ramos,671218,2,R,Chris Sale,L,0.261,0.308,0.421,.288,.347,.485,2.08,1.01,0.215,,,.213,,,0.2627333333333334,2.1233333333333335,0,1,,,,28.5,12,0,2.05,0.0,0.0,0,1,0,-0.03,0.01,0.75,0.4010025052606453,0.3896956821947468,0.44467581508094167,0.27833638019125145,0.6499999999999999,0.447577122101657,3
2026-08-08,822864,Baltimore Orioles @ Texas Rangers,Texas Rangers,Baltimore Orioles,Joc Pederson,592626,1,R,Kyle Bradish,R,0.252,0.339,0.507,.262,.349,.513,3.79,1.36,0.0,,,.256,,,0.25146666666666667,3.896666666666667,1,0,,,,25.0,3,0,0.64,0.0,0.0,0,0,0,0.0,0.01,1.0,0.378446114339734,0.37154940882565735,0.4590999131491815,0.35827201299739375,0.6499999999999999,0.4893581281007779,1
2026-08-08,822864,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Texas Rangers,Gunnar Henderson,683002,1,R,Jacob deGrom,R,0.217,0.297,0.391,.212,.292,.368,3.96,1.14,0.231,,,.247,,,0.2202666666666667,3.4473333333333334,0,1,,,,23.8,15,0,0.53,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.29072681631396785,0.26409743374881356,0.544041472967973,0.29093729533464974,0.6499999999999999,0.45787739462779276,2
2026-08-08,822864,Baltimore Orioles @ Texas Rangers,Texas Rangers,Baltimore Orioles,Wyatt Langford,694671,2,R,Kyle Bradish,R,0.262,0.313,0.484,.273,.328,.492,3.79,1.36,0.0,,,.256,,,0.2766,3.896666666666667,0,1,,,,25.0,3,0,0.64,0.0,0.0,0,0,0,0.0,0.01,0.75,0.40350877091852433,0.3687396545066622,0.4590999131491815,0.39301855670757174,0.6499999999999999,0.4438676710775557,3
2026-08-08,824079,Chicago Cubs @ Kansas City Royals,Chicago Cubs,Kansas City Royals,Pete Crow-Armstrong,691718,1,R,Seth Lugo,R,0.289,0.388,0.549,.279,.371,.562,4.41,1.39,0.274,,,.256,,,0.2858666666666666,4.0713333333333335,1,0,,,,28.3,-3,0,2.39,0.0,0.0,0,0,0,0.0,0.01,1.0,0.47117794368125815,0.4090905017290917,0.6193738469977279,0.41523715698338826,0.6499999999999999,0.5553703530790994,1
