date,game_pk,matchup,batting_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,temp_c,wind_kph,precip,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Yordan Alvarez,670541,2,R,Brandon Young,R,0.321,0.431,0.637,.337,.462,.675,3.36,1.34,0.253,,,.276,,,0.31679999999999997,3.4953333333333334,,,,0.75,0.48125937031484256,0.6213,0.49198041517830227,0.5350539570879362,0.5,0.5331772181166812,1
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Jose Altuve,514888,1,R,Brandon Young,R,0.233,0.303,0.399,.227,.290,.409,3.36,1.34,0.253,,,.276,,,0.23346666666666666,3.4953333333333334,,,,1.0,0.3493253373313343,0.39949999999999997,0.49198041517830227,0.40798585896024586,0.5,0.5086670033975276,2
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Gunnar Henderson,683002,1,R,Hunter Brown,R,0.221,0.289,0.395,.228,.297,.393,3.66,1.4,0.206,,,.203,,,0.2226,1.96625,,,,1.0,0.3313343328335832,0.39735000000000004,0.39520533599769675,0.34633116389428625,0.5,0.469848775383452,3
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Taylor Ward,621493,2,R,Hunter Brown,R,0.252,0.387,0.362,.235,.365,.320,3.66,1.4,0.206,,,.203,,,0.25293333333333334,1.96625,,,,0.75,0.3778110944527736,0.39874999999999994,0.39520533599769675,0.3925839516127656,0.5,0.4271366935412239,4
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Isaac Paredes,670623,3,R,Brandon Young,R,0.252,0.346,0.411,.247,.344,.431,3.36,1.34,0.253,,,.276,,,0.2521333333333333,3.4953333333333334,,,,0.5,0.3778110944527736,0.4376,0.49198041517830227,0.4364491129408485,0.5,0.4224614914946179,5
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Dylan Beavers,687637,3,R,Hunter Brown,R,0.241,0.323,0.358,.248,.341,.389,3.66,1.4,0.206,,,.203,,,0.23093333333333335,1.96625,,,,0.5,0.36131934032983504,0.42515000000000003,0.39520533599769675,0.3590379737070553,0.5,0.37870479685536734,6
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,LaMonte Wade Jr.,664774,4,R,Brandon Young,R,0.216,0.341,0.432,.200,.314,.433,3.36,1.34,0.253,,,.276,,,0.23653846153846156,3.4953333333333334,,,,0.25,0.3238380809595202,0.38839999999999997,0.49198041517830227,0.41266978454661435,0.5,0.3565945922354828,7
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Pete Alonso,624413,4,R,Hunter Brown,R,0.247,0.347,0.465,.256,.365,.504,3.66,1.4,0.206,,,.203,,,0.24973333333333336,1.96625,,,,0.25,0.3703148425787106,0.47285,0.39520533599769675,0.38770453664466237,0.5,0.3449297812960083,8
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Yainer Diaz,673237,5,R,Brandon Young,R,0.244,0.271,0.401,.240,.266,.438,3.36,1.34,0.253,,,.276,,,0.24339999999999998,3.4953333333333334,,,,0.0,0.3658170914542728,0.41389999999999993,0.49198041517830227,0.4231323762570665,0.5,0.3145389809920506,9
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Samuel Basallo,694212,5,R,Hunter Brown,R,0.241,0.305,0.45,.257,.332,.515,3.66,1.4,0.206,,,.203,,,0.2508000000000001,1.96625,,,,0.0,0.36131934032983504,0.4688,0.39520533599769675,0.38933100830069683,0.5,0.29416125204441357,10
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Leody Taveras,665750,6,R,Hunter Brown,R,0.238,0.317,0.363,.263,.333,.423,3.66,1.4,0.206,,,.203,,,0.2416,1.96625,,,,-0.25,0.35682158920539725,0.44684999999999997,0.39520533599769675,0.3753026902673997,0.5,0.23656950433941898,11
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Sam Huff,669087,5,R,Hunter Brown,R,0.167,0.167,0.25,.125,.125,.188,3.66,1.4,0.206,,,.203,,,0.2049,1.96625,,,,0.0,0.25037481259370314,0.20015,0.39520533599769675,0.3193418998519648,0.5,0.21650038577710373,12
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Lucas Spence,828599,6,R,Brandon Young,R,0.333,0.4,0.333,.000,.250,.000,3.36,1.34,0.253,,,.276,,,0.365,3.4953333333333334,,,,-0.25,0.4992503748125937,0.0625,0.49198041517830227,0.6085501450449924,0.5,0.20450164631023954,13
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Cam Smith,701358,7,R,Brandon Young,R,0.211,0.283,0.364,.221,.290,.377,3.36,1.34,0.253,,,.276,,,0.2194,3.4953333333333334,,,,-0.5,0.3163418290854572,0.38449999999999995,0.49198041517830227,0.3865367639962917,0.5,0.20169963915293443,14
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Raynel Delgado,669384,8,R,Brandon Young,R,0.258,0.303,0.387,.250,.280,.292,3.36,1.34,0.253,,,.276,,,0.31513333333333343,3.4953333333333334,,,,-0.75,0.3868065967016492,0.38260000000000005,0.49198041517830227,0.5325125951253826,0.5,0.17312101382229805,15
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Colton Cowser,681297,7,R,Hunter Brown,R,0.211,0.301,0.34,.221,.313,.370,3.66,1.4,0.206,,,.203,,,0.22193333333333334,1.96625,,,,-0.5,0.3163418290854572,0.38815,0.39520533599769675,0.3453146191092648,0.5,0.16739629366569875,16
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Houston Astros,Nick Allen,669397,9,R,Brandon Young,R,0.244,0.293,0.311,.219,.271,.234,3.36,1.34,0.253,,,.276,,,0.2439333333333333,3.4953333333333334,,,,-1.0,0.3658170914542728,0.33505,0.49198041517830227,0.42394561208508375,0.5,0.09494846636625322,17
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Coby Mayo,691723,8,R,Hunter Brown,R,0.191,0.261,0.387,.150,.216,.235,3.66,1.4,0.206,,,.203,,,0.19126666666666664,1.96625,,,,-0.75,0.2863568215892054,0.2595,0.39520533599769675,0.2985535589982746,0.5,0.0782196346490502,18
2026-07-19,824168,Baltimore Orioles @ Houston Astros,Baltimore Orioles,Jackson Holliday,702616,9,R,Hunter Brown,R,0.21,0.329,0.371,.212,.316,.374,3.66,1.4,0.206,,,.203,,,0.20326666666666665,1.96625,,,,-1.0,0.31484257871064464,0.382,0.39520533599769675,0.3168513651286621,0.5,0.061589305568608324,19
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Toronto Blue Jays,Ernie Clement,676391,1,R,Sean Burke,R,0.295,0.32,0.428,.298,.316,.423,3.2,1.13,0.225,,,.234,,,0.2962,3.6600000000000006,,,,1.0,0.4422788605697151,0.47409999999999997,0.3812132650409773,0.5084979191421852,0.5,0.509163667383621,1
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Chicago White Sox,Sam Antonacci,803011,1,R,Trey Yesavage,R,0.281,0.371,0.416,.304,.393,.472,3.78,1.16,0.186,,,.172,,,0.2897333333333333,2.464,,,,1.0,0.42128935532233885,0.51345,0.3099922299922299,0.46337338021299596,0.5,0.4908661760296184,2
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Toronto Blue Jays,Nathan Lukes,664770,2,R,Sean Burke,R,0.286,0.339,0.398,.322,.364,.454,3.2,1.13,0.225,,,.234,,,0.29073333333333323,3.6600000000000006,,,,0.75,0.42878560719640174,0.517,0.3812132650409773,0.5001622519050085,0.5,0.46863831729804445,3
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Chicago White Sox,Munetaka Murakami,808959,2,R,Trey Yesavage,R,0.231,0.371,0.529,.250,.384,.583,3.78,1.16,0.186,,,.172,,,0.23739999999999997,2.464,,,,0.75,0.34632683658170915,0.4959,0.3099922299922299,0.3835746145888063,0.5,0.42450886118598996,4
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Toronto Blue Jays,Vladimir Guerrero Jr.,665489,3,R,Sean Burke,R,0.262,0.346,0.357,.264,.333,.354,3.2,1.13,0.225,,,.234,,,0.26453333333333334,3.6600000000000006,,,,0.5,0.39280359820089955,0.42705000000000004,0.3812132650409773,0.4602120418536628,0.5,0.3901582857903426,5
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Chicago White Sox,Miguel Vargas,678246,3,R,Trey Yesavage,R,0.242,0.352,0.485,.229,.333,.446,3.78,1.16,0.186,,,.172,,,0.24440000000000003,2.464,,,,0.5,0.36281859070464767,0.42315,0.3099922299922299,0.39424833483153243,0.5,0.35792241922239887,6
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Toronto Blue Jays,Kazuma Okamoto,672960,4,R,Sean Burke,R,0.231,0.314,0.454,.227,.307,.454,3.2,1.13,0.225,,,.234,,,0.23653333333333332,3.6600000000000006,,,,0.25,0.34632683658170915,0.41725,0.3812132650409773,0.4175171608827588,0.5,0.33130405364470705,7
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Chicago White Sox,Colson Montgomery,695657,4,R,Trey Yesavage,R,0.224,0.307,0.477,.211,.298,.442,3.78,1.16,0.186,,,.172,,,0.22113333333333338,2.464,,,,0.25,0.335832083958021,0.39699999999999996,0.3099922299922299,0.3587709218342813,0.5,0.29606330727281116,8
2026-07-19,822786,Chicago White Sox @ Toronto Blue Jays,Toronto Blue Jays,Daulton Varsho,662139,5,R,Sean Burke,R,0.239,0.305,0.384,.232,.300,.373,3.2,1.13,0.225,,,.234,,,0.24666666666666665,3.6600000000000006,,,,0.0,0.3583208395802099,0.3957,0.3812132650409773,0.43296864161508597,0.5,0.27823427575455606,9
