date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_bb_rate,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,batter_home_away_avg,batter_home_away_obp,batter_home_away_slg,batting_home_flag,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,last5_hitter_avg,prev_game_hits,prev_game_zero_hit_flag,current_hit_streak,hot_streak_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,streak_rank_today,streak_percentile_today,hottest_today_flag,coldest_today_flag,hot_streak_bonus,hit_score,game_rank,prob_hit_1,prob_hit_2,prob_run_1
2026-08-16,824880,Arizona Diamondbacks @ Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,Drake Baldwin,686948,1,R,Michael Soroka,R,0.274,0.359,0.449,0.10267857142857142,.287,.380,.473,.283,.363,.475,1,2.93,1.11,0.233,,,.180,,,0.27233333333333337,3.2953333333333332,0.273,1,0,4,1,,,,23.7,-4,0,0.49,0.0,0.0,0,0,0,0.04,0.0,1.0,0.45278450253563074,0.5428999990403334,0.32810111050316865,0.3880956056134591,0.6499999999999999,18,0.9258064516129032,1,0,0.04,0.5473696737530528,1,0.9272749426489653,0.3601930422301732,0.9480030449124631
2026-08-16,822940,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,Yandy Díaz,650490,1,R,Trevor Rogers,L,0.302,0.37,0.46,0.0838095238095238,.301,.367,.504,.344,.410,.561,1,4.15,1.25,0.252,,,.277,,,0.3004,5.123333333333334,0.30179999999999996,1,0,7,1,,,,14.2,3,0,1.24,0.0,0.0,0,0,0,0.07,0.0,1.0,0.5205811125409657,0.555199999024,0.5009750193830071,0.4989654902038875,0.6499999999999999,4,0.9870967741935484,1,0,0.07,0.6989373291014851,1,0.9653318540866266,0.8435696585991708,0.9901566423218991
2026-08-16,823344,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Boston Red Sox,Esmerlyn Valdez,699013,2,R,Patrick Sandoval,L,0.262,0.376,0.568,0.15384615384615385,.262,.408,.721,.282,.390,.659,1,4.76,1.85,0.338,,,.253,,,0.2536666666666666,3.5528571428571425,0.2528,2,0,6,1,,,,25.0,1,0,0.89,0.0,0.0,0,0,0,0.06,0.01,0.75,0.42372881253334427,0.5839999990242667,0.6836176198628693,0.3724480843751338,0.6499999999999999,7,0.9725806451612903,1,0,0.06,0.6719524983711975,1,0.9915410029300303,0.8299581821527366,0.9981591227794268
2026-08-16,824236,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,Gleyber Torres,650402,1,R,Sean Burke,R,0.271,0.379,0.406,0.14093959731543623,.307,.380,.429,.295,.368,.451,1,3.15,1.11,0.219,,,.217,,,0.2638,3.5039999999999996,0.263,2,0,3,1,,,,25.0,-6,0,1.63,0.0,0.0,0,0,1,0.05,0.01,1.0,0.4455205800350591,0.5520999990102,0.3543318711010385,0.38452816000119294,0.6499999999999999,31,0.8596774193548387,1,0,0.03,0.5570037850830405,1,0.9767713605475634,0.7592541346773308,0.9872317401180191
2026-08-16,823182,Colorado Rockies @ San Francisco Giants,San Francisco Giants,Colorado Rockies,Drew Gilbert,687551,1,R,Gabriel Hughes,R,0.243,0.329,0.375,0.09427609427609428,.274,.366,.429,.237,.348,.373,1,6.69,1.38,0.267,,,.224,,,0.2386666666666666,3.60125,0.2392,1,0,2,0,,,,25.0,-11,0,0.89,0.0,0.0,0,0,1,0.04,0.01,1.0,0.37772397002972397,0.5153999990836,0.6122611937249041,0.35362292049948263,0.6499999999999999,59,0.7532258064516129,0,0,0.02,0.6105717959632936,1,0.7114241171494473,0.136904540309931,0.7016100816356221
2026-08-16,823991,Kansas City Royals @ Los Angeles Angels,Kansas City Royals,Los Angeles Angels,Carter Jensen,695600,1,R,Ryan Johnson,R,0.219,0.298,0.401,0.10021786492374728,.215,.302,.427,.200,.284,.368,0,6.41,1.54,0.271,,,.278,,,0.22726666666666664,9.378666666666668,0.2206,1,0,1,0,,,,25.0,-8,0,0.98,0.0,0.0,0,0,1,0.03,0.01,1.0,0.3196125900251511,0.42989999925406674,0.6699295051094892,0.5656618173784707,0.6499999999999999,97,0.5612903225806452,0,0,0.01,0.6283031239531339,1,0.9796870826891959,0.33703362863320985,0.5406969824458054
2026-08-16,824477,Miami Marlins @ Cincinnati Reds,Miami Marlins,Cincinnati Reds,Otto Lopez,672640,1,R,Nick Lodolo,L,0.308,0.341,0.452,0.047619047619047616,.372,.372,.531,.303,.336,.445,0,4.52,1.42,0.271,,,.257,,,0.31653333333333333,5.681428571428571,0.3108,1,0,1,0,,,,20.6,-2,0,1.04,0.0,0.0,0,0,0,0.01,0.0,1.0,0.535108957542109,0.6269999988876,0.5465021351055873,0.5432702152474849,0.6499999999999999,97,0.5612903225806452,0,0,0.01,0.6771911725406989,1,0.967717146457426,0.3691127548748291,0.974086801866751
2026-08-16,823912,Milwaukee Brewers @ Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,William Contreras,661388,1,R,Tarik Skubal,L,0.258,0.33,0.382,0.0925553319919517,.254,.353,.386,.260,.328,.377,0,2.85,0.96,0.213,,,.190,,,0.26386666666666664,2.8573333333333335,0.2572,1,0,2,0,,,,19.2,14,0,0.97,0.0,0.0,0,1,0,-0.009999999999999998,0.0,1.0,0.4140435825325821,0.4822999991383333,0.29040094553086854,0.35912306771447494,0.6499999999999999,59,0.7532258064516129,0,0,0.02,0.5165637436010151,1,0.7976743084776005,0.20062576953133646,0.26228802581881966
2026-08-16,822774,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,New York Yankees,Brett Bateman,703520,1,R,Ryan Weathers,L,0.275,0.326,0.325,0.06976744186046512,.316,.316,.368,.308,.333,.346,1,3.56,1.19,0.241,,,.234,,,0.27466666666666667,3.944,0.2822,0,1,0,0,,,,25.0,11,0,0.94,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.4552058100358213,0.5159999990661334,0.41992105963268206,0.4168968725224288,0.6499999999999999,178,0.2161290322580645,0,1,0.0,0.5425108485347022,1,0.02862734695992696,0.01725950295790817,0.07416494899318289
2026-08-16,823670,Philadelphia Phillies @ Minnesota Twins,Minnesota Twins,Philadelphia Phillies,Trevor Larnach,663616,1,R,Andrew Painter,R,0.273,0.359,0.429,0.1105121293800539,.289,.372,.446,.259,.363,.381,1,6.43,1.55,0.29,,,.274,,,0.2803333333333333,6.037333333333334,0.2726,1,0,3,1,,,,25.3,-7,0,0.4,0.0,0.0,0,0,1,0.05,0.01,1.0,0.4503631950354402,0.5352999990483334,0.6871718074172302,0.5072668842475389,0.6499999999999999,31,0.8596774193548387,1,0,0.03,0.6710665746243831,1,0.9441017228405284,0.2991773199476915,0.9071502892562215
